Région,District,Aire de santé,Population 2023 estimée (Les deux sexes),LiveBirths (Naissance vivante),0-11 mois,Femmes enceintes attendues,FAP (15-49 ans),enfants 0-59 mois,enfants 12-23 mois,enfants 12-59 mois,Adolescents 10-14 ans Féminin,15-19 ans Féminin,50 ans et plus Masculin,50 ans et plus Féminin
CENTRE,MFOU,Ndangueng,3599,128,121,132,810,553,112,432,230,189,217,219
CENTRE,MFOU,Nkilzok,4153,148,140,152,935,638,130,499,265,218,250,252
CENTRE,MFOU,Nkoabang,35401,1263,1191,1295,7968,5441,1106,4250,2263,1859,2135,2152
CENTRE,MFOU,Nkongoa,16966,605,571,621,3818,2607,530,2037,1085,891,1023,1031
CENTRE,MFOU,Nsimalen,14142,505,476,517,3183,2173,442,1698,904,743,853,860
CENTRE,MFOU,Omvan,3059,109,103,112,689,470,96,367,196,161,184,186
CENTRE,MONATELE,Eyenmeyong,2747,98,92,100,618,422,86,330,176,144,166,167
CENTRE,MONATELE,Monatele,18489,660,622,676,4161,2842,578,2220,1182,971,1115,1124
CENTRE,MONATELE,Mvomekak 2,4843,173,163,177,1090,744,151,581,310,254,292,294
CENTRE,MONATELE,Ngomo,3968,142,133,145,893,610,124,476,254,208,239,241
CENTRE,MONATELE,Nkog bong,7538,269,254,276,1697,1159,236,905,482,396,455,458
CENTRE,MONATELE,Nkolkosse,6225,222,209,228,1401,957,195,747,398,327,375,378
CENTRE,MONATELE,Nlong Bon 1,4146,148,139,152,933,637,130,498,265,218,250,252
CENTRE,MONATELE,Tala,5507,197,185,201,1240,846,172,661,352,289,332,335
CENTRE,NANGA_EBOKO,Bibey,3975,142,134,145,895,611,124,477,254,209,240,242
CENTRE,NANGA_EBOKO,Bissaga,1254,45,42,46,282,193,39,150,80,66,76,76
CENTRE,NANGA_EBOKO,Emtse,1804,64,61,66,406,277,56,217,115,95,109,110
CENTRE,NANGA_EBOKO,Mbargue,2483,89,84,91,559,382,78,298,159,130,150,151
CENTRE,NANGA_EBOKO,Metep,1353,48,46,49,305,208,42,162,87,71,82,82
CENTRE,NANGA_EBOKO,Minta,6010,214,202,220,1353,924,188,722,384,316,362,365
CENTRE,NANGA_EBOKO,Mvomzock,1801,64,61,66,405,277,56,216,115,95,109,110
CENTRE,NANGA_EBOKO,Nanga Eboko,32041,1143,1078,1172,7211,4924,1001,3846,2048,1683,1932,1948
CENTRE,NANGA_EBOKO,Ndjassi (Nanga Eboko),928,33,31,34,209,143,29,111,59,49,56,56
CENTRE,NANGA_EBOKO,Ndjombe,2251,80,76,82,507,346,70,270,144,118,136,137
CENTRE,NANGA_EBOKO,Ngoulmekong,3686,132,124,135,830,566,115,443,236,194,222,224
CENTRE,NANGA_EBOKO,Nguem,3168,113,107,116,713,487,99,380,203,166,191,193
CENTRE,NANGA_EBOKO,Nsem (Nanga Eboko),5829,208,196,213,1312,896,182,700,373,306,352,354
CENTRE,NANGA_EBOKO,Wall,2955,105,99,108,665,454,92,355,189,155,178,180
CENTRE,NDIKINIMEKI,Boutourou,2708,97,91,99,609,416,85,325,173,142,163,165
CENTRE,NDIKINIMEKI,Makenene,18649,666,627,682,4197,2866,583,2239,1192,979,1125,1134
CENTRE,NDIKINIMEKI,Ndikinimeki,17203,614,579,629,3872,2644,538,2065,1100,903,1037,1046
CENTRE,NDIKINIMEKI,Ndokowanen,1162,41,39,42,261,179,36,139,74,61,70,71
CENTRE,NDIKINIMEKI,Nitoukou,5160,184,174,189,1161,793,161,620,330,271,311,314
CENTRE,NDIKINIMEKI,Nyokon,4197,150,141,154,945,645,131,504,268,220,253,255
CENTRE,NGOG_MAPUBI,Bot Makak,5965,213,201,218,1342,917,186,716,381,313,360,363
CENTRE,NGOG_MAPUBI,Boumnyebel,7644,273,257,280,1720,1175,239,918,489,401,461,465
CENTRE,NGOG_MAPUBI,Dibang,2793,100,94,102,629,429,87,335,179,147,168,170
CENTRE,NGOG_MAPUBI,Hebga,4581,163,154,168,1031,704,143,550,293,241,276,278
CENTRE,NGOG_MAPUBI,Mandoumba,7312,261,246,267,1646,1124,229,878,467,384,441,444
CENTRE,NGOG_MAPUBI,Matomb,5421,193,182,198,1220,833,169,651,347,285,327,330
CENTRE,NGOG_MAPUBI,Mbanda,1228,44,41,45,276,189,38,147,78,64,74,75
CENTRE,NGOG_MAPUBI,Mbebe Kikot,5103,182,172,187,1149,784,159,613,326,268,308,310
CENTRE,NGOG_MAPUBI,Mintaba,2347,84,79,86,528,361,73,282,150,123,142,143
CENTRE,NGOG_MAPUBI,Ndongo,2846,102,96,104,641,437,89,342,182,149,172,173
CENTRE,NGOG_MAPUBI,Ngog-Mapubi,4051,145,136,148,912,623,127,486,259,213,244,246
CENTRE,NGOG_MAPUBI,Nguibassal,3599,128,121,132,810,553,112,432,230,189,217,219
CENTRE,NGOG_MAPUBI,Ntouleng,2199,78,74,80,495,338,69,264,141,115,133,134
CENTRE,NGOG_MAPUBI,Sombo,3534,126,119,129,795,543,110,424,226,186,213,215
CENTRE,NGOUMOU,Akono,11694,417,393,428,2632,1797,365,1404,748,614,705,711
CENTRE,NGOUMOU,Bikok,7892,282,265,289,1776,1213,247,947,505,414,476,480
CENTRE,NGOUMOU,Bikop,3890,139,131,142,875,598,122,467,249,204,235,236
CENTRE,NGOUMOU,Evindissi,4007,143,135,147,902,616,125,481,256,210,242,244
CENTRE,NGOUMOU,Ngoumou,11397,407,383,417,2565,1752,356,1368,729,599,687,693
CENTRE,NGOUMOU,Nkong Abok,3463,124,116,127,779,532,108,416,221,182,209,210
CENTRE,NGOUMOU,Offoumou,5307,189,178,194,1194,816,166,637,339,279,320,323
CENTRE,NTUI,Biakoa,12631,451,425,462,2843,1941,395,1516,808,663,762,768
CENTRE,NTUI,Mbangassina,8533,305,287,312,1921,1311,267,1024,546,448,515,519
CENTRE,NTUI,Ndimi,11884,424,400,435,2675,1826,371,1427,760,624,717,722
CENTRE,NTUI,Ndjame,5701,203,192,209,1283,876,178,684,364,299,344,347
CENTRE,NTUI,Ngoro,13759,491,463,503,3097,2115,430,1652,880,723,830,836
CENTRE,NTUI,Nguila,12921,461,435,473,2908,1986,404,1551,826,679,779,785
CENTRE,NTUI,Ntui,28458,1016,957,1041,6405,4374,889,3416,1819,1495,1716,1730
CENTRE,NTUI,Nyamanga 2,11734,419,395,429,2641,1803,367,1409,750,616,708,713
CENTRE,NTUI,Nyamoko,4962,177,167,182,1117,763,155,596,317,261,299,302
CENTRE,NTUI,Talba,15689,560,528,574,3531,2411,490,1883,1003,824,946,954
CENTRE,NTUI,Voundou,15140,540,509,554,3408,2327,473,1818,968,795,913,920
CENTRE,OBALA,Batchenga,12999,464,437,475,2926,1998,406,1561,831,683,784,790
CENTRE,OBALA,Efok,7456,266,251,273,1678,1146,233,895,477,392,450,453
CENTRE,OBALA,Ekabita Mendoum,7679,274,258,281,1728,1180,240,922,491,403,463,467
CENTRE,OBALA,Endinding,9074,324,305,332,2042,1395,284,1089,580,477,547,552
CENTRE,OBALA,Essong,11901,425,400,435,2679,1829,372,1429,761,625,718,723
CENTRE,OBALA,Etoud Ayos,5396,193,181,197,1214,829,169,648,345,283,325,328
CENTRE,OBALA,Minkama,9701,346,326,355,2183,1491,303,1165,620,509,585,590
CENTRE,OBALA,Nkol Mekok,5659,202,190,207,1274,870,177,679,362,297,341,344
CENTRE,OBALA,Nkolguem,6644,237,223,243,1495,1021,208,798,425,349,401,404
CENTRE,OBALA,Nkometou,7321,261,246,268,1648,1125,229,879,468,384,441,445
CENTRE,OBALA,Obala,57447,2050,1932,2101,12930,8829,1795,6897,3673,3017,3464,3492
CENTRE,OBALA,Yemessoa,6274,224,211,229,1412,964,196,753,401,329,378,381
CENTRE,OKOLA,Ebougsi,7330,262,247,268,1650,1126,229,880,469,385,442,446
CENTRE,OKOLA,Ekekam 3,5233,187,176,191,1178,804,164,628,335,275,316,318
CENTRE,OKOLA,Elig Yen,2175,78,73,80,489,334,68,261,139,114,131,132
CENTRE,OKOLA,Lobo,4172,149,140,153,939,641,130,501,267,219,252,254
CENTRE,OKOLA,Mvaa,5543,198,186,203,1248,852,173,665,354,291,334,337
CENTRE,OKOLA,Mvoua,5047,180,170,185,1136,776,158,606,323,265,304,307
CENTRE,OKOLA,Ngoya,9217,329,310,337,2074,1417,288,1106,589,484,556,560
CENTRE,OKOLA,Nkolpoblo,3845,137,129,141,865,591,120,462,246,202,232,234
CENTRE,OKOLA,Nlong,2066,74,70,76,465,318,65,248,132,109,125,126
CENTRE,OKOLA,Okola,11773,420,396,431,2650,1809,368,1413,753,618,710,716
CENTRE,OKOLA,Voa 2,4089,146,138,150,920,628,128,491,261,215,247,249
CENTRE,SAA,Lebamzip,4155,148,140,152,935,639,130,499,266,218,251,253
CENTRE,SAA,Lepopomo,3824,136,129,140,861,588,120,459,244,201,231,232
CENTRE,SAA,Ndong Elang,6978,249,235,255,1571,1072,218,838,446,366,421,424
CENTRE,SAA,Nkolang,9347,334,314,342,2104,1436,292,1122,598,491,564,568
CENTRE,SAA,Nkolbogo,4308,154,145,158,970,662,135,517,275,226,260,262
CENTRE,SAA,Nkolmbgana,2387,85,80,87,537,367,75,287,153,125,144,145
CENTRE,SAA,Nkolmvak,5633,201,189,206,1268,866,176,676,360,296,340,342
CENTRE,SAA,Nlong Onambele,6539,233,220,239,1472,1005,204,785,418,343,394,398
CENTRE,SAA,Ondondo,3070,110,103,112,691,472,96,369,196,161,185,187
CENTRE,SAA,Sa'a,30720,1096,1033,1124,6914,4721,960,3688,1964,1613,1852,1867
CENTRE,SOA,Ebang,13389,478,450,490,3014,2058,418,1607,856,703,807,814
CENTRE,SOA,Koulou,1708,61,57,62,384,262,53,205,109,90,103,104
CENTRE,SOA,Ngali 2,2278,81,77,83,513,350,71,274,146,120,137,138
CENTRE,SOA,Ntsouessong (Soa),7221,258,243,264,1625,1110,226,867,462,379,435,439
CENTRE,SOA,Soa,22854,816,769,836,5144,3512,714,2744,1461,1200,1378,1389
CENTRE,SOA,Ting Melen,1918,68,65,70,432,295,60,230,123,101,116,117
CENTRE,YOKO,Djole,7473,267,251,273,1682,1149,234,897,478,392,451,454
CENTRE,YOKO,Doume,2012,72,68,74,453,309,63,242,129,106,121,122
CENTRE,YOKO,Linte,3123,111,105,114,703,480,98,375,200,164,188,190
CENTRE,YOKO,Makouri,571,20,19,21,129,88,18,69,37,30,34,35
CENTRE,YOKO,Mankim,4351,155,146,159,979,669,136,522,278,228,262,264
CENTRE,YOKO,Nditam,4424,158,149,162,996,680,138,531,283,232,267,269
CENTRE,YOKO,Ngambe Tikar,16786,599,565,614,3778,2580,525,2015,1073,882,1012,1020
CENTRE,YOKO,Yoko,8087,289,272,296,1820,1243,253,971,517,425,488,492
EST,ABONG_MBANG,Abong Mbang Nord,6892,243,225,247,1660,1033,207,808,457,405,332,331
EST,ABONG_MBANG,Abong Mbang Sud,28604,1009,936,1026,6889,4288,860,3353,1898,1682,1380,1376
EST,ABONG_MBANG,Angossas,9964,351,326,357,2400,1494,300,1168,661,586,481,479
EST,ABONG_MBANG,Ankoung,4808,170,157,172,1158,721,145,564,319,283,232,231
EST,ABONG_MBANG,Atok,13805,487,452,495,3325,2070,415,1618,916,812,666,664
EST,ABONG_MBANG,Mbomba,8105,286,265,291,1952,1215,244,950,538,477,391,390
EST,ABONG_MBANG,Mindourou (Abong Mbang),9820,346,321,352,2365,1472,295,1151,652,578,474,472
EST,ABONG_MBANG,Nkouak,5664,200,185,203,1364,849,170,664,376,333,273,272
EST,BATOURI,Bandongoue,9651,340,316,346,2324,1447,290,1131,640,568,465,464
EST,BATOURI,Batouri Centre 1,11353,400,371,407,2734,1702,341,1331,753,668,548,546
EST,BATOURI,Batouri Centre 2,11307,399,370,406,2723,1695,340,1325,750,665,545,544
EST,BATOURI,Batouri Nord 1,4198,148,137,151,1011,629,126,492,279,247,202,202
EST,BATOURI,Batouri Nord 2,4188,148,137,150,1009,628,126,491,278,246,202,201
EST,BATOURI,Batouri Sud,13772,486,450,494,3317,2065,414,1614,914,810,664,662
EST,BATOURI,Belita 2,8457,298,277,303,2037,1268,254,991,561,497,408,407
EST,BATOURI,Batouri Ouest 1,7196,254,235,258,1733,1079,216,843,478,423,347,346
EST,BATOURI,Batouri Ouest 2,6287,222,206,226,1514,943,189,737,417,370,303,302
EST,BATOURI,Dem 2 Kambele,9095,321,298,326,2191,1364,273,1066,604,535,439,437
EST,BATOURI,Gadji,10017,353,328,359,2413,1502,301,1174,665,589,483,482
EST,BATOURI,Gounte,2968,105,97,106,715,445,89,348,197,175,143,143
EST,BATOURI,Kamba Mieri,3058,108,100,110,737,458,92,358,203,180,148,147
EST,BATOURI,Mbendissola,1604,57,52,58,386,240,48,188,106,94,77,77
EST,BATOURI,Mbounou,10026,354,328,360,2415,1503,301,1175,665,590,484,482
EST,BATOURI,Ndjassi (Batouri),3581,126,117,128,862,537,108,420,238,211,173,172
EST,BATOURI,Nguelebok,3367,119,110,121,811,505,101,395,223,198,162,162
EST,BATOURI,Tapare (Batouri),3863,136,126,139,930,579,116,453,256,227,186,186
EST,BELABO,Belabo,25921,914,848,930,6243,3886,779,3038,1720,1524,1250,1247
EST,BELABO,Bombi,3196,113,105,115,770,479,96,375,212,188,154,154
EST,BELABO,Deng Deng,11038,389,361,396,2659,1655,332,1294,733,649,532,531
EST,BELABO,Diang,7018,248,230,252,1690,1052,211,823,466,413,338,338
EST,BELABO,Ndemba 1,4500,159,147,161,1084,675,135,527,299,265,217,216
EST,BELABO,Mbethen,2990,105,98,107,720,448,90,350,198,176,144,144
EST,BELABO,Moundi,9493,335,311,341,2286,1423,285,1113,630,558,458,457
EST,BELABO,Mbitom,20570,726,673,738,4955,3084,618,2411,1365,1210,992,989
EST,BERTOUA,Bazzama,8071,285,264,290,1944,1210,243,946,536,475,389,388
EST,BERTOUA,Enia,53250,1878,1742,1910,12826,7983,1601,6242,3534,3132,2568,2561
EST,BERTOUA,Grand Mboulaye,15550,548,509,558,3745,2331,467,1823,1032,915,750,748
EST,BERTOUA,Mandjou,49209,1736,1610,1765,11852,7378,1479,5768,3266,2894,2373,2367
EST,BERTOUA,Mokolo 1 (Bertoua),34285,1209,1122,1230,8258,5140,1031,4019,2275,2016,1654,1649
EST,BERTOUA,Mokolo 4,28396,1002,929,1019,6839,4257,854,3328,1884,1670,1370,1366
EST,BERTOUA,Ndouan,12810,452,419,460,3086,1921,385,1502,850,753,618,616
EST,BERTOUA,Nkolbikon,42521,1500,1391,1525,10241,6375,1278,4984,2822,2501,2051,2045
EST,BERTOUA,Radio,8807,311,288,316,2121,1320,265,1032,584,518,425,424
EST,BERTOUA,Tigaza,36947,1303,1209,1325,8899,5539,1111,4331,2452,2173,1782,1777
EST,BETARE_OYA,Betare Oya,52317,1845,1711,1877,12601,7844,1573,6132,3472,3077,2523,2516
EST,BETARE_OYA,Dang Patou,23915,844,782,858,5760,3585,719,2803,1587,1407,1153,1150
EST,BETARE_OYA,Ngoura,35162,1240,1150,1261,8469,5272,1057,4121,2333,2068,1696,1691
EST,BETARE_OYA,Tongo Gadima,33258,1173,1088,1193,8011,4986,1000,3898,2207,1956,1604,1600
EST,DOUME,Doume 1,6921,244,226,248,1667,1038,208,811,459,407,334,333
EST,DOUME,Nkoum,4144,146,136,149,998,621,125,486,275,244,200,199
EST,DOUME,Bayong 3,1323,47,43,47,319,198,40,155,88,78,64,64
EST,DOUME,Dimako Nord,8111,286,265,291,1954,1216,244,951,538,477,391,390
EST,DOUME,Dimako Sud,6820,241,223,245,1643,1022,205,799,453,401,329,328
EST,DOUME,Doume 2,5842,206,191,210,1407,876,176,685,388,344,282,281
EST,DOUME,Goumbegeron,2149,76,70,77,518,322,65,252,143,126,104,103
EST,DOUME,Motcheboum,6014,212,197,216,1448,902,181,705,399,354,290,289
EST,DOUME,Ngandame,3463,122,113,124,834,519,104,406,230,204,167,167
EST,DOUME,Ngomdouma,2094,74,68,75,504,314,63,245,139,123,101,101
EST,DOUME,Petit Pol,3897,137,127,140,939,584,117,457,259,229,188,187
EST,DOUME,Seguelendom,3734,132,122,134,899,560,112,438,248,220,180,180
EST,GAROUA_BOULAÏ,Bindiba (Garoua Boulai),7226,255,236,259,1740,1083,217,847,480,425,349,348
EST,GAROUA_BOULAÏ,Gado Badzere,33864,1194,1108,1215,8156,5077,1018,3969,2247,1992,1633,1629
EST,GAROUA_BOULAÏ,Garoua Boulai,77246,2725,2527,2771,18605,11581,2322,9054,5126,4543,3726,3715
EST,GAROUA_BOULAÏ,Nandoungue,6809,240,223,244,1640,1021,205,798,452,400,328,328
EST,KETTE,Bedobo,3948,139,129,142,951,592,119,463,262,232,190,190
EST,KETTE,Bengue Tiko,4536,160,148,163,1093,680,136,532,301,267,219,218
EST,KETTE,Boubara,10594,374,347,380,2552,1588,318,1242,703,623,511,510
EST,KETTE,Gbiti,18886,666,618,677,4549,2831,568,2214,1253,1111,911,908
EST,KETTE,Kette,15927,562,521,571,3836,2388,479,1867,1057,937,768,766
EST,KETTE,Lala,3567,126,117,128,859,535,107,418,237,210,172,172
EST,KETTE,Oundjiki,1811,64,59,65,436,272,54,212,120,107,87,87
EST,KETTE,Ouli,8608,304,282,309,2073,1291,259,1009,571,506,415,414
EST,KETTE,Timangolo,13585,479,444,487,3272,2037,408,1592,902,799,655,653
EST,LOMIE,Lomie,21697,765,710,778,5226,3253,652,2543,1440,1276,1046,1044
EST,LOMIE,Messok (Lomie),14087,497,461,505,3393,2112,423,1651,935,828,679,678
EST,LOMIE,Ngoyla,7682,271,251,276,1850,1152,231,900,510,452,371,370
EST,LOMIE,Zoulabot 1,5326,188,174,191,1283,798,160,624,353,313,257,256
EST,MBANG,Atseik,3029,107,99,109,730,454,91,355,201,178,146,146
EST,MBANG,Bimba (Mbang),3711,131,121,133,894,556,112,435,246,218,179,179
EST,MBANG,Djampiel,3522,124,115,126,848,528,106,413,234,207,170,169
EST,MBANG,Kagnol,5095,180,167,183,1227,764,153,597,338,300,246,245
EST,MBANG,Lila,4042,143,132,145,974,606,122,474,268,238,195,194
EST,MBANG,Mbang,15707,554,514,563,3783,2355,472,1841,1042,924,758,755
EST,MESSAMENA,Bidjombo,3411,120,112,122,822,511,103,400,226,201,165,164
EST,MESSAMENA,Dimpam,6060,214,198,217,1460,909,182,710,402,356,292,291
EST,MESSAMENA,Doumou Mama,3141,111,103,113,756,471,94,368,208,185,151,151
EST,MESSAMENA,Messamena,7765,274,254,279,1870,1164,233,910,515,457,375,373
EST,MESSAMENA,Ngoulmakong (Messamena),6955,245,228,249,1675,1043,209,815,462,409,335,335
EST,MESSAMENA,Somalomo,5641,199,185,202,1359,846,170,661,374,332,272,271
EST,MOLOUNDOU,Mikel,7825,276,256,281,1885,1173,235,917,519,460,377,376
EST,MOLOUNDOU,Moloundou,10297,363,337,369,2480,1544,310,1207,683,606,497,495
EST,MOLOUNDOU,Ndongo Adjala,4207,148,138,151,1013,631,126,493,279,247,203,202
EST,MOLOUNDOU,Nguilili,14757,520,483,529,3554,2212,444,1730,979,868,712,710
EST,MOLOUNDOU,Salapoumbe,15133,534,495,543,3645,2269,455,1774,1004,890,730,728
EST,NDELELE,Kentzou,28160,993,921,1010,6783,4222,846,3301,1869,1656,1358,1354
EST,NDELELE,Lolo,30299,1069,991,1087,7298,4543,911,3551,2011,1782,1461,1457
EST,NDELELE,Mbondoua,7117,251,233,255,1714,1067,214,834,472,419,343,342
EST,NDELELE,Mindourou (Ndelele),12888,455,422,462,3104,1932,387,1511,855,758,622,620
EST,NDELELE,Ndelele,14785,521,484,530,3561,2217,444,1733,981,870,713,711
EST,NDELELE,Ngotto,7097,250,232,255,1709,1064,213,832,471,417,342,341
EST,NDELELE,Pana,3682,130,120,132,887,552,111,432,244,217,178,177
EST,NGUELEMENDOUKA,Azomekout,6007,212,197,215,1447,901,181,704,399,353,290,289
EST,NGUELEMENDOUKA,Bika,3904,138,128,140,940,585,117,458,259,230,188,188
EST,NGUELEMENDOUKA,Ngoap,8279,292,271,297,1994,1241,249,970,549,487,399,398
EST,NGUELEMENDOUKA,Nguelemendouka,14761,521,483,529,3555,2213,444,1730,980,868,712,710
EST,YOKADOUMA,Gari Gombo,11073,391,362,397,2667,1660,333,1298,735,651,534,533
EST,YOKADOUMA,Gribi,5381,190,176,193,1296,807,162,631,357,316,260,259
EST,YOKADOUMA,Massea,7388,261,242,265,1780,1108,222,866,490,435,356,355
EST,YOKADOUMA,Moampack,8636,305,283,310,2080,1295,260,1012,573,508,417,415
EST,YOKADOUMA,Momdjepoum,6892,243,225,247,1660,1033,207,808,457,405,332,331
EST,YOKADOUMA,Ngatto Madjoue,22196,783,726,796,5346,3328,667,2602,1473,1305,1071,1068
EST,YOKADOUMA,Ngolla 35,17201,607,563,617,4143,2579,517,2016,1142,1012,830,827
EST,YOKADOUMA,Yokadouma Nord,13634,481,446,489,3284,2044,410,1598,905,802,658,656
EST,YOKADOUMA,Yokadouma Sud,34054,1201,1114,1222,8202,5106,1024,3992,2260,2003,1643,1638
EXTRÊME-NORD,BOGO,Balaza,24675,1156,1123,1175,5607,4838,1006,3715,1632,1534,930,939
EXTRÊME-NORD,BOGO,Balda,18152,850,826,865,4125,3559,740,2733,1200,1129,684,691
EXTRÊME-NORD,BOGO,Bogo,28829,1350,1313,1373,6551,5653,1176,4340,1906,1793,1087,1097
EXTRÊME-NORD,BOGO,Borai,9904,464,451,472,2251,1942,404,1491,655,616,373,377
EXTRÊME-NORD,BOGO,Guinggley,21923,1027,998,1044,4982,4299,894,3301,1449,1363,827,834
EXTRÊME-NORD,BOGO,Madaka,15130,709,689,721,3438,2967,617,2278,1000,941,570,576
EXTRÊME-NORD,BOGO,Sedek,12444,583,567,593,2828,2440,507,1873,823,774,469,474
EXTRÊME-NORD,BOURHA,Boukoula,21269,996,968,1013,4833,4170,867,3202,1406,1323,802,809
EXTRÊME-NORD,BOURHA,Bourha,11611,544,529,553,2638,2277,473,1748,768,722,438,442
EXTRÊME-NORD,BOURHA,Gamboura,13634,639,621,649,3098,2673,556,2053,901,848,514,519
EXTRÊME-NORD,BOURHA,Guili 1 (Catholique),8881,416,404,423,2018,1741,362,1337,587,552,335,338
EXTRÊME-NORD,BOURHA,Guili 2 (Public),7113,333,324,339,1616,1395,290,1071,470,442,268,271
EXTRÊME-NORD,BOURHA,Mbola,6360,298,290,303,1445,1247,259,958,421,395,240,242
EXTRÊME-NORD,BOURHA,Oudda,6592,309,300,314,1498,1293,269,992,436,410,249,251
EXTRÊME-NORD,BOURHA,Tchevi,10229,479,466,487,2324,2006,417,1540,676,636,386,389
EXTRÊME-NORD,BOURHA,Teleki,4389,206,200,209,997,861,179,661,290,273,165,167
EXTRÊME-NORD,FOTOKOL,Fotokol,55528,2601,2528,2645,12618,10888,2264,8360,3671,3453,2094,2113
EXTRÊME-NORD,FOTOKOL,Sagme,19176,898,873,913,4358,3760,782,2887,1268,1192,723,730
EXTRÊME-NORD,GAZAWA,Dagai (Gazawa),6581,308,300,313,1496,1290,268,991,435,409,248,250
EXTRÊME-NORD,GAZAWA,Gawel,9745,456,444,464,2215,1911,397,1467,644,606,367,371
EXTRÊME-NORD,GAZAWA,Gazawa,31245,1463,1423,1488,7100,6127,1274,4704,2066,1943,1178,1189
EXTRÊME-NORD,GAZAWA,Loulou,8557,401,390,408,1945,1678,349,1288,566,532,323,326
EXTRÊME-NORD,GAZAWA,Massakal,9500,445,433,452,2159,1863,387,1430,628,591,358,362
EXTRÊME-NORD,GAZAWA,Ndoukoula,10723,502,488,511,2437,2103,437,1614,709,667,404,408
EXTRÊME-NORD,GAZAWA,Zongoya,6539,306,298,311,1486,1282,267,984,432,407,247,249
EXTRÊME-NORD,GOULFEY,Afade,20058,939,913,955,4558,3933,818,3020,1326,1247,756,763
EXTRÊME-NORD,GOULFEY,Amdjagara,12615,591,574,601,2867,2474,514,1899,834,784,476,480
EXTRÊME-NORD,GOULFEY,Goulfey,21293,997,969,1014,4839,4175,868,3206,1408,1324,803,810
EXTRÊME-NORD,GOULFEY,Goulfey Gana,12872,603,586,613,2925,2524,525,1938,851,800,485,490
EXTRÊME-NORD,GOULFEY,Hilele,19794,927,901,943,4498,3881,807,2980,1309,1231,746,753
EXTRÊME-NORD,GOULFEY,Maltam,31057,1455,1414,1479,7057,6090,1267,4676,2053,1931,1171,1182
EXTRÊME-NORD,GOULFEY,Mara,11409,534,519,543,2593,2237,465,1718,754,709,430,434
EXTRÊME-NORD,GUERE,Bangana,20367,954,927,970,4628,3994,831,3066,1347,1266,768,775
EXTRÊME-NORD,GUERE,Djougoumta,18087,847,823,861,4110,3546,738,2723,1196,1125,682,688
EXTRÊME-NORD,GUERE,Dompya,13607,637,619,648,3092,2668,555,2049,900,846,513,518
EXTRÊME-NORD,GUERE,Gobo,34552,1618,1573,1646,7852,6775,1409,5202,2285,2148,1303,1315
EXTRÊME-NORD,GUERE,Guibi,22719,1064,1034,1082,5163,4455,926,3420,1502,1413,857,865
EXTRÊME-NORD,GUERE,Nouldaina,33631,1575,1531,1602,7642,6594,1371,5063,2224,2091,1268,1280
EXTRÊME-NORD,GUERE,Polgue,7428,348,338,354,1688,1457,303,1118,491,462,280,283
EXTRÊME-NORD,GUIDIGUIS,Barlang,11224,526,511,535,2551,2201,458,1690,742,698,423,427
EXTRÊME-NORD,GUIDIGUIS,Bizili,16095,754,733,767,3657,3156,656,2423,1064,1001,607,613
EXTRÊME-NORD,GUIDIGUIS,Dongrosse,6922,324,315,330,1573,1357,282,1042,458,430,261,263
EXTRÊME-NORD,GUIDIGUIS,Doubane,17607,825,802,839,4001,3452,718,2651,1164,1095,664,670
EXTRÊME-NORD,GUIDIGUIS,Dziguilao 1,7508,352,342,358,1706,1472,306,1130,496,467,283,286
EXTRÊME-NORD,GUIDIGUIS,Dziguilao 2,12864,602,586,613,2923,2522,525,1937,851,800,485,490
EXTRÊME-NORD,GUIDIGUIS,Golonghini,9806,459,446,467,2228,1923,400,1476,648,610,370,373
EXTRÊME-NORD,GUIDIGUIS,Goundaye,21575,1010,982,1028,4903,4230,880,3248,1427,1342,813,821
EXTRÊME-NORD,GUIDIGUIS,Guego,7801,365,355,372,1773,1530,318,1175,516,485,294,297
EXTRÊME-NORD,GUIDIGUIS,Guereme,12506,586,569,596,2842,2452,510,1883,827,778,472,476
EXTRÊME-NORD,GUIDIGUIS,Guidiguis,20197,946,920,962,4589,3960,824,3041,1335,1256,762,769
EXTRÊME-NORD,GUIDIGUIS,Kabla,7637,358,348,364,1735,1497,311,1150,505,475,288,291
EXTRÊME-NORD,GUIDIGUIS,Kofide,13045,611,594,621,2964,2558,532,1964,862,811,492,496
EXTRÊME-NORD,GUIDIGUIS,Kourbi,8534,400,389,406,1939,1673,348,1285,564,531,322,325
EXTRÊME-NORD,GUIDIGUIS,Touloum,23741,1112,1081,1131,5395,4655,968,3574,1570,1476,895,904
EXTRÊME-NORD,HINA,Bering,14182,664,646,675,3223,2781,578,2135,938,882,535,540
EXTRÊME-NORD,HINA,Boudoum,12235,573,557,583,2780,2399,499,1842,809,761,461,466
EXTRÊME-NORD,HINA,Boula,11497,538,523,548,2613,2254,469,1731,760,715,433,438
EXTRÊME-NORD,HINA,Gamdougoum,15538,728,707,740,3531,3047,634,2339,1027,966,586,591
EXTRÊME-NORD,HINA,Gawar,14834,695,675,707,3371,2909,605,2233,981,922,559,565
EXTRÊME-NORD,HINA,Hina,20860,977,950,994,4740,4090,851,3141,1379,1297,787,794
EXTRÊME-NORD,HINA,Ounangare Dimeo,13471,631,613,642,3061,2641,549,2028,891,838,508,513
EXTRÊME-NORD,HINA,Tchamahe,9582,449,436,456,2177,1879,391,1443,634,596,361,365
