admin2Name_fr,admin2Pcode,admin1Name_fr,admin1Pcode,admin0Name_fr,REMARK,F_00_04,M_00_04,F_05_19,M_05_19,F_adulte,M_adulte,F_agee,M_agee,T_00_04,T_05_19,T_adulte,T_agee,F_TL,M_TL,T_TL,Notes
Luilu,CD8104,Lomami,CD81,République démocratique du Congo (la),,95262,97539,186348,191852,178426,175437,14422,9346,192801,378200,353863,23768,481052,467769,948821,
Kamiji,CD8105,Lomami,CD81,République démocratique du Congo (la),,11005,11269,21529,22164,20613,20268,1666,1080,22274,43693,40881,2746,55575,54041,109616,
Ngandajika,CD8106,Lomami,CD81,République démocratique du Congo (la),,85629,87676,167505,172452,160384,157697,12964,8401,173305,339957,318081,21365,432409,420468,852877,
Lubao,CD8108,Lomami,CD81,République démocratique du Congo (la),,60151,61589,117666,121141,112664,110776,9107,5901,121740,238807,223440,15008,303751,295364,599115,
Mbuji-Mayi,CD8201,Kasaï-Oriental,CD82,République démocratique du Congo (la),,344126,352352,673171,693051,644551,633754,52099,33761,696478,1366222,1278305,85860,1689783,1737768,3427551,
Tshilenge,CD8202,Kasaï-Oriental,CD82,République démocratique du Congo (la),,58920,60328,115258,118662,110358,108509,8920,5781,119248,233920,218867,14701,289319,297534,547055,"Formerly 586853. Manually edited, based on Meta population TIFF"
Lukalaba,CD8204,Kasaï-Oriental,CD82,République démocratique du Congo (la),Population is reflected in CD8202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39798,"Formerly 0. Manually edited, based on Meta population TIFF"
Miabi,CD8205,Kasaï-Oriental,CD82,République démocratique du Congo (la),,38433,39352,75181,77402,71985,70779,5819,3771,77785,152583,142764,9590,188719,194078,382797,
Kabeya-Kamwanga,CD8207,Kasaï-Oriental,CD82,République démocratique du Congo (la),,21155,21661,41384,42606,39624,38961,3203,2076,42816,83990,78585,5279,103881,106831,210712,
Lupatapata,CD8208,Kasaï-Oriental,CD82,République démocratique du Congo (la),,36273,37140,70956,73051,67939,66801,5491,3559,73413,144007,134740,9050,178112,183169,361281,
Katanda,CD8209,Kasaï-Oriental,CD82,République démocratique du Congo (la),,44591,45657,87227,89803,83519,82120,6751,4375,90248,177030,165639,11126,218957,225174,444131,
Lusambo,CD8302,Sankuru,CD83,République démocratique du Congo (la),,33595,34398,65717,67658,62923,61869,5086,3296,67993,133375,124792,8382,169311,165296,334607,
Lodja,CD8303,Sankuru,CD83,République démocratique du Congo (la),,50296,51499,98389,101294,94206,92628,7615,4934,101795,199683,186834,12549,253486,247474,500960,
Bena-Dibele,CD8305,Sankuru,CD83,République démocratique du Congo (la),Population is reflected in CD8306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Formerly 0. Manually edited, based on Meta population TIFF"
Kole,CD8306,Sankuru,CD83,République démocratique du Congo (la),,19910,20386,38948,40098,37292,36668,3014,1953,40296,79046,73960,4967,100345,97966,198311,"Formerly 198311. Manually edited, based on Meta population TIFF"
Lomela,CD8307,Sankuru,CD83,République démocratique du Congo (la),,21829,22351,42701,43962,40886,40201,3305,2142,44180,86663,81087,5447,110015,107405,217420,
Katako-Kombe,CD8308,Sankuru,CD83,République démocratique du Congo (la),,34292,35111,67080,69061,64228,63153,5192,3364,69403,136141,127381,8556,172824,168726,341550,
Lubefu,CD8309,Sankuru,CD83,République démocratique du Congo (la),,45650,46741,89299,91936,85503,84071,6911,4479,92391,181235,169574,11390,230069,224612,454681,
Tshumbe,CD8311,Sankuru,CD83,République démocratique du Congo (la),Population is reflected in CD8306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Formerly 0. Manually edited, based on Meta population TIFF"
Kananga,CD9101,Kasaï-Central,CD91,République démocratique du Congo (la),,94982,98849,207499,214650,208241,201778,18594,14621,193831,422149,410019,33215,547751,511728,1059479,
Dibaya,CD9102,Kasaï-Central,CD91,République démocratique du Congo (la),,54806,57037,119730,123856,120158,116429,10729,8436,111843,243586,236587,19165,316060,295274,532931,"Formerly 611334. Manually edited, based on Meta population TIFF"
Tshimbulu,CD9103,Kasaï-Central,CD91,République démocratique du Congo (la),Population is reflected in CD9102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78403,"Formerly 0. Manually edited, based on Meta population TIFF"
Luiza,CD9104,Kasaï-Central,CD91,République démocratique du Congo (la),,79942,83197,174641,180660,175266,169826,15650,12306,163139,355301,345092,27956,461014,430696,891710,
Kazumba,CD9105,Kasaï-Central,CD91,République démocratique du Congo (la),,86033,89535,187947,194425,188619,182765,16842,13243,175568,382372,371384,30085,496139,463510,959649,
Demba,CD9106,Kasaï-Central,CD91,République démocratique du Congo (la),,72090,75025,157487,162915,158050,153145,14112,11097,147115,320402,311195,25209,415732,388391,804123,
Dimbelenge,CD9107,Kasaï-Central,CD91,République démocratique du Congo (la),,41431,43118,90511,93630,90834,88015,8111,6378,84549,184141,178849,14489,238928,223216,462144,
Tshikapa,CD9201,Kasaï,CD92,République démocratique du Congo (la),Population is reflected in CD9202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338130,"Formerly 0. Manually edited, based on Meta population TIFF"
Kamonia,CD9202,Kasaï,CD92,République démocratique du Congo (la),,230664,240055,503909,521276,505710,490015,45155,35506,470719,1025185,995725,80661,1271029,1301905,2234804,"Formerly 2572934. Manually edited, based on Meta population TIFF"
Luebo,CD9204,Kasaï,CD92,République démocratique du Congo (la),,39324,40925,85908,88869,86215,83540,7698,6053,80249,174777,169755,13751,216690,221954,438644,
Ilebo,CD9205,Kasaï,CD92,République démocratique du Congo (la),,51887,53999,113352,117259,113757,110227,10157,7987,105886,230611,223984,18144,285912,292857,578769,
Mweka,CD9207,Kasaï,CD92,République démocratique du Congo (la),,66349,69050,144947,149942,145465,140950,12989,10213,135399,294889,286415,23202,365605,374486,740091,
Dekese,CD9208,Kasaï,CD92,République démocratique du Congo (la),,14570,15163,31830,32927,31944,30952,2852,2243,29733,64757,62896,5095,80286,82236,162522,
